# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   23.386773547    0.033741783    0.033740862    0.033740687
   23.446893788    0.034780704    0.034780775    0.034780633
   23.507014028    0.034168345    0.034167805    0.034167661
   23.567134269    0.036302064    0.036298746    0.036299076
   23.627254509    0.039692622    0.039686544    0.039688065
   23.687374749    0.034348546    0.034344330    0.034345349
   23.747494990    0.028944008    0.028944265    0.028943428
   23.807615230    0.028640030    0.028645141    0.028642146
   23.867735471    0.034314721    0.034326329    0.034320053
   23.927855711    0.043578802    0.043596409    0.043585221
   23.987975952    0.047736843    0.047752726    0.047738912
   24.048096192    0.044541406    0.044550119    0.044540485
   24.108216433    0.042830886    0.042834502    0.042829275
   24.168336673    0.044094696    0.044094783    0.044092743
   24.228456914    0.042693890    0.042692272    0.042693007
   24.288577154    0.037600402    0.037600642    0.037601716
   24.348697395    0.037427249    0.037429475    0.037430583
   24.408817635    0.041170052    0.041173742    0.041175630
   24.468937876    0.044080353    0.044085070    0.044088665
   24.529058116    0.046550115    0.046554454    0.046559320
   24.589178357    0.054228534    0.054236607    0.054237779
   24.649298597    0.066082923    0.066094933    0.066094453
   24.709418838    0.072650637    0.072666837    0.072666682
   24.769539078    0.058224067    0.058238982    0.058238996
   24.829659319    0.040935149    0.040944159    0.040944970
   24.889779559    0.032332841    0.032337071    0.032338503
   24.949899800    0.029063228    0.029064767    0.029066046
   25.010020040    0.027870904    0.027871008    0.027872603
   25.070140281    0.028723994    0.028723078    0.028725734
   25.130260521    0.028947606    0.028946342    0.028950127
   25.190380762    0.027473957    0.027472888    0.027477411
   25.250501002    0.023989271    0.023988477    0.023991517
   25.310621242    0.020941440    0.020940884    0.020942261
   25.370741483    0.019746389    0.019746267    0.019746385
   25.430861723    0.019442123    0.019443093    0.019442180
   25.490981964    0.018697102    0.018698853    0.018697573
   25.551102204    0.018911278    0.018914104    0.018912690
   25.611222445    0.022531840    0.022536338    0.022534541
   25.671342685    0.028272977    0.028277449    0.028276484
   25.731462926    0.031591199    0.031594671    0.031595094
   25.791583166    0.030670786    0.030675568    0.030676134
   25.851703407    0.028530816    0.028535265    0.028535077
   25.911823647    0.024462786    0.024466198    0.024463849
   25.971943888    0.022225165    0.022229353    0.022223009
   26.032064128    0.022989782    0.022996204    0.022984965
   26.092184369    0.021770685    0.021777548    0.021766669
   26.152304609    0.019905368    0.019911042    0.019903700
   26.212424850    0.021151618    0.021157142    0.021151393
   26.272545090    0.022917993    0.022923360    0.022918295
   26.332665331    0.022107677    0.022111704    0.022108126
   26.392785571    0.021451597    0.021454700    0.021452317
   26.452905812    0.022036396    0.022039155    0.022037154
   26.513026052    0.019153725    0.019155185    0.019153867
   26.573146293    0.016435621    0.016436119    0.016435482
   26.633266533    0.015490503    0.015490321    0.015489969
   26.693386774    0.014156958    0.014156490    0.014156157
   26.753507014    0.012685767    0.012685398    0.012684905
   26.813627255    0.012890637    0.012890225    0.012889387
   26.873747495    0.014504902    0.014504308    0.014503439
   26.933867735    0.016703546    0.016703130    0.016703112
   26.993987976    0.018946239    0.018946085    0.018947175
   27.054108216    0.018824052    0.018823411    0.018825898
   27.114228457    0.018485724    0.018484926    0.018488976
   27.174348697    0.021412083    0.021411316    0.021417843
   27.234468938    0.022793334    0.022792212    0.022800586
   27.294589178    0.020624667    0.020621904    0.020630802
   27.354709419    0.021500791    0.021495025    0.021506159
   27.414829659    0.023076015    0.023067273    0.023080083
   27.474949900    0.019753963    0.019746621    0.019756171
   27.535070140    0.014922273    0.014917976    0.014923707
   27.595190381    0.011111864    0.011109460    0.011112857
   27.655310621    0.008775199    0.008773763    0.008775871
   27.715430862    0.007577198    0.007576275    0.007577663
   27.775551102    0.007073742    0.007073115    0.007074057
   27.835671343    0.007103660    0.007103218    0.007103842
   27.895791583    0.007283494    0.007283164    0.007283558
   27.955911824    0.006952643    0.006952373    0.006952638
   28.016032064    0.006836066    0.006835810    0.006835959
   28.076152305    0.007150696    0.007150515    0.007150514
   28.136272545    0.006991634    0.006991669    0.006991576
   28.196392786    0.006618233    0.006618403    0.006618254
   28.256513026    0.006693576    0.006693919    0.006693643
   28.316633267    0.006991587    0.006991957    0.006991680
   28.376753507    0.007655508    0.007655799    0.007655651
   28.436873747    0.009051783    0.009051783    0.009052065
   28.496993988    0.011433301    0.011432627    0.011433691
   28.557114228    0.013877760    0.013876283    0.013877783
   28.617234469    0.014999767    0.014998697    0.015001024
   28.677354709    0.016500899    0.016500486    0.016504426
   28.737474950    0.016920949    0.016920696    0.016924597
   28.797595190    0.015882950    0.015883306    0.015883622
