# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.838711590   17.838713118   17.838710695
    5.225225225   -7.345026536   -7.345026629   -7.345024918
    5.255255255   -6.479587221   -6.479587374   -6.479585399
    5.285285285   -5.507655331   -5.507655498   -5.507653252
    5.315315315   -4.474078690   -4.474078853   -4.474076353
    5.345345345   -3.475248323   -3.475248487   -3.475245836
    5.375375375   -2.704676227   -2.704676477   -2.704674087
    5.405405405   -2.540995412   -2.540995913   -2.540994819
    5.435435435   -3.159398784   -3.159399349   -3.159400592
    5.465465465   -3.978069078   -3.978069287   -3.978072285
    5.495495495   -5.050957229   -5.050957146   -5.050960529
    5.525525526   -6.683120869   -6.683120636   -6.683123585
    5.555555556   -7.696277205   -7.696276871   -7.696279238
    5.585585586   -7.486186921   -7.486186540   -7.486188520
    5.615615616   -6.603080763   -6.603080374   -6.603082125
    5.645645646   -5.494274361   -5.494273968   -5.494275553
    5.675675676   -4.361189096   -4.361188702   -4.361190152
    5.705705706   -3.337804184   -3.337803822   -3.337805167
    5.735735736   -2.648764774   -2.648764535   -2.648765812
    5.765765766   -2.528069588   -2.528069548   -2.528070784
    5.795795796   -2.603348190   -2.603348259   -2.603349425
    5.825825826   -2.164470763   -2.164470819   -2.164471892
    5.855855856   -1.185225751   -1.185225752   -1.185226742
    5.885885886   -0.014922858   -0.014922792   -0.014923711
    5.915915916    0.931436515    0.931436648    0.931435798
    5.945945946    1.043850604    1.043850753    1.043849973
    5.975975976   -0.003959894   -0.003959960   -0.003960701
    6.006006006   -1.565934599   -1.565935127   -1.565935832
    6.036036036   -2.949334080   -2.949334907   -2.949335509
    6.066066066   -3.762343638   -3.762344457   -3.762344953
    6.096096096   -4.039796923   -4.039797715   -4.039798227
    6.126126126   -3.442759887   -3.442760728   -3.442761293
    6.156156156   -2.092058842   -2.092059703   -2.092060216
    6.186186186   -0.502815450   -0.502816284   -0.502816696
    6.216216216    0.914222343    0.914221568    0.914221182
    6.246246246    1.844849510    1.844848762    1.844848122
    6.276276276    1.644765879    1.644765076    1.644763882
    6.306306306   -0.296112361   -0.296113102   -0.296114844
    6.336336336   -3.234263688   -3.234264128   -3.234266224
    6.366366366   -6.367308441   -6.367308644   -6.367310791
    6.396396396   -9.122816367   -9.122816523   -9.122818376
    6.426426426  -10.496351697  -10.496351965  -10.496353373
    6.456456456  -11.031219671  -11.031220210  -11.031221152
    6.486486486  -12.201809559  -12.201810465  -12.201810928
    6.516516517  -13.649120357  -13.649121375  -13.649121506
    6.546546547  -13.890782939  -13.890783826  -13.890783801
    6.576576577  -12.969921062  -12.969921877  -12.969921799
    6.606606607  -11.706310692  -11.706311451  -11.706311380
    6.636636637  -10.695670727  -10.695671227  -10.695671270
    6.666666667  -10.212259687  -10.212259606  -10.212259973
    6.696696697   -9.844900734   -9.844900103   -9.844900888
    6.726726727   -9.131977298   -9.131976460   -9.131977469
    6.756756757   -8.313282654   -8.313281832   -8.313282880
    6.786786787   -7.880956498   -7.880955786   -7.880956799
    6.816816817   -8.145642609   -8.145642067   -8.145643036
    6.846846847   -8.892515760   -8.892515404   -8.892516391
    6.876876877   -9.436301112   -9.436300843   -9.436301917
    6.906906907   -9.299374120   -9.299373866   -9.299374981
    6.936936937   -8.714230532   -8.714230319   -8.714231422
    6.966966967   -7.923464700   -7.923464556   -7.923465634
    6.996996997   -7.122507974   -7.122507891   -7.122508930
    7.027027027   -6.557913287   -6.557913255   -6.557914234
    7.057057057   -6.398441085   -6.398441130   -6.398442052
    7.087087087   -6.501948078   -6.501948210   -6.501949126
    7.117117117   -6.837656306   -6.837656398   -6.837657373
    7.147147147   -7.170530922   -7.170530882   -7.170531987
    7.177177177   -7.008127266   -7.008127164   -7.008128379
    7.207207207   -6.595509306   -6.595509228   -6.595510496
    7.237237237   -6.513120137   -6.513120063   -6.513121361
    7.267267267   -6.966304296   -6.966304088   -6.966305406
    7.297297297   -7.476187224   -7.476186875   -7.476188228
    7.327327327   -7.767361694   -7.767361272   -7.767362679
    7.357357357   -7.982494637   -7.982494120   -7.982495551
    7.387387387   -8.148812308   -8.148811696   -8.148813113
    7.417417417   -8.158383380   -8.158382780   -8.158384221
    7.447447447   -7.848644783   -7.848644260   -7.848645761
    7.477477477   -7.457486778   -7.457486274   -7.457487775
    7.507507508   -7.378450351   -7.378449691   -7.378450996
    7.537537538   -7.858271646   -7.858270609   -7.858271448
    7.567567568   -8.522353151   -8.522351835   -8.522352244
    7.597597598   -8.669428567   -8.669427205   -8.669427479
    7.627627628   -8.351623958   -8.351622612   -8.351622913
    7.657657658   -7.898128816   -7.898127489   -7.898127852
    7.687687688   -7.527836834   -7.527835568   -7.527835968
    7.717717718   -7.366936325   -7.366935254   -7.366935671
    7.747747748   -7.359750725   -7.359750064   -7.359750582
    7.777777778   -7.305764621   -7.305764430   -7.305765138
    7.807807808   -7.089609432   -7.089609505   -7.089610355
    7.837837838   -6.764148550   -6.764148692   -6.764149636
    7.867867868   -6.404879495   -6.404879626   -6.404880653
    7.897897898   -6.051521455   -6.051521555   -6.051522660
    7.927927928   -5.735780613   -5.735780683   -5.735781839
    7.957957958   -5.528123214   -5.528123255   -5.528124362
    7.987987988   -5.561246299   -5.561246289   -5.561247133
    8.018018018   -5.828037749   -5.828037627   -5.828038094
    8.048048048   -5.986397529   -5.986397286   -5.986397567
    8.078078078   -5.894303052   -5.894302750   -5.894303033
    8.108108108   -5.683795755   -5.683795453   -5.683795793
    8.138138138   -5.455118588   -5.455118317   -5.455118710
    8.168168168   -5.225132624   -5.225132382   -5.225132826
    8.198198198   -4.985084989   -4.985084758   -4.985085273
    8.228228228   -4.739116664   -4.739116434   -4.739117033
    8.258258258   -4.491169472   -4.491169238   -4.491169928
    8.288288288   -4.240722327   -4.240722089   -4.240722875
    8.318318318   -3.987193706   -3.987193461   -3.987194350
    8.348348348   -3.737310405   -3.737310156   -3.737311155
    8.378378378   -3.520670706   -3.520670460   -3.520671571
    8.408408408   -3.407454360   -3.407454146   -3.407455360
    8.438438438   -3.442404128   -3.442404014   -3.442405315
    8.468468468   -3.484359900   -3.484359944   -3.484361321
    8.498498498   -3.410751816   -3.410751998   -3.410753393
    8.528528529   -3.362522108   -3.362522368   -3.362523583
    8.558558559   -3.562229051   -3.562229296   -3.562229980
    8.588588589   -4.017417049   -4.017417097   -4.017417059
    8.618618619   -4.507461131   -4.507460836   -4.507460184
    8.648648649   -4.730481622   -4.730481073   -4.730480124
    8.678678679   -4.634002109   -4.634001470   -4.634000517
    8.708708709   -4.395034861   -4.395034216   -4.395033381
    8.738738739   -4.130792550   -4.130791924   -4.130791228
    8.768768769   -3.905399567   -3.905398979   -3.905398410
    8.798798799   -3.790494755   -3.790494235   -3.790493758
    8.828828829   -3.773588130   -3.773587682   -3.773587258
    8.858858859   -3.728296776   -3.728296373   -3.728295993
    8.888888889   -3.665706455   -3.665706083   -3.665705757
    8.918918919   -3.650162490   -3.650162130   -3.650161854
    8.948948949   -3.681296197   -3.681295784   -3.681295549
    8.978978979   -3.767079006   -3.767078473   -3.767078303
    9.009009009   -3.775959221   -3.775958588   -3.775958517
    9.039039039   -3.635849675   -3.635848992   -3.635849009
    9.069069069   -3.431205126   -3.431204425   -3.431204499
    9.099099099   -3.263948813   -3.263948131   -3.263948215
    9.129129129   -3.230681680   -3.230681083   -3.230681092
    9.159159159   -3.320641128   -3.320640651   -3.320640531
    9.189189189   -3.395092854   -3.395092433   -3.395092261
    9.219219219   -3.409592252   -3.409591830   -3.409591705
    9.249249249   -3.381512540   -3.381512084   -3.381512041
    9.279279279   -3.370924093   -3.370923593   -3.370923634
    9.309309309   -3.343664204   -3.343663690   -3.343663818
    9.339339339   -3.231951749   -3.231951227   -3.231951436
    9.369369369   -3.051021220   -3.051020662   -3.051020938
    9.399399399   -2.866232749   -2.866232138   -2.866232453
    9.429429429   -2.777808088   -2.777807461   -2.777807735
    9.459459459   -2.914523670   -2.914523176   -2.914523258
    9.489489489   -3.231520730   -3.231520618   -3.231520404
    9.519519520   -3.410081016   -3.410081275   -3.410080857
    9.549549550   -3.353335557   -3.353335951   -3.353335484
